Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
Australasian Journal of Environmental Management,Taylor & Francis Online,1503,A,1448-6563,2159-5356,,2,Education
Australasian Journal of Information Systems,Australasian Association for Information Systems (AAIS),806,A,1449-8618,1326-2238,,2,Information Systems
Australasian Marketing Journal,Elsevier,1505,A,1441-3582,1839-3349,,2,
Australian and New Zealand Journal of Criminology,Sage Publications,180105,A,0004-8658,1837-9273,,2,
Australian and New Zealand Journal of Statistics,Wiley-Blackwell Publishing,104,A,1369-1473,1467-842X,,2,
Australian Bar Review,LexisNexis,180105,A,0814-8589,,,2,
Australian Business Law Review,Thomson Reuters,180105,A,0310-1053,,,2,
Australian Journal of Communication,Australia and New Zealand Communication Association,1503,A,0811-6202,0811-6202,,2,Education
Australian Journal of Corporate Law,LexisNexis,180105,A,1037-4124,,,2,
Australian Journal of International Affairs,Taylor & Francis Online,1599,A,1035-7718,1465-332X,,2,
Australian Journal of Labour Law,LexisNexis,180105,A,1030-7222,,,2,
Australian Journal of Management,Sage Publications,1502,A,0312-8962,1327-2020,,2,
Australian Journal of Political Science,Taylor & Francis Online,1599,A,1036-1146,1363-030X,,2,
Australian Journal of Public Administration,Wiley-Blackwell Publishing,1503,A,0313-6647,1467-8500,,2,Education
Australian Law Journal,Thomson Reuters,180105,A,0004-9611,,,2,
Australian Tax Review,Thomson Reuters,180125,A,0311-094X,,,2,
Bayesian Analysis,International Society for Bayesian Analysis,104,A,1936-0975,1931-6690,,2,
Behavioral Research in Accounting,American Accounting Association,1501,A,1050-4753,1558-8009,,2,
Behaviour and Information Technology,Taylor & Francis Online,806,A,0144-929X,1362-3001,,2,Information Systems
Berkeley Technology Law Journal,University of California Berkeley School of Law,180105,A,1086-3818,,,2,
Bernoulli,Bernoulli Society for Mathematical Statistics and Probability,104,A,1350-7265,1573-9759,,2,
Bioinformatics,Oxford University Press,104,A,1367-4803,1460-2059,,2,
Biostatistics,Oxford University Press,104,A,1465-4644,1468-4357,,2,
British Journal of Educational Technology,Wiley-Blackwell Publishing,806,A,0007-1013,1467-8535,,2,Information Systems
British Journal of Management,Wiley-Blackwell Publishing,1503,A,1045-3172,1467-8551,,2,Education
British Journal of Political Science,Cambridge University Press,1599,A,0007-1234,1469-2112,,2,
British Journal of Psychology,Wiley-Blackwell Publishing,1503,A,0007-1269,2044-8295,,2,Education
British Journal of Social Psychology,Wiley-Blackwell Publishing,1503,A,0144-6665,2044-8309,,2,Education
British Journal of Sociology,Wiley-Blackwell Publishing,1503,A,0007-1315,1468-4446,,2,Education
Brookings Papers on Economic Activity,Brookings Institutions,1402,A,0007-2303,1533-4465,,2,
Building Research and Information,Taylor & Francis Online,1503,A,0961-3218,1466-4321,,2,Education
Business & Information Systems Engineering,Springer International Publishing,806,A,2363-7005,1867-0202,,2,Information Systems
Business and Politics,De Gruyter,1503,A,1369-5258,1469-3569,,2,Education
Business and Society,Sage Publications,1503,A,0007-6503,1552-4205,,2,Education
Business Ethics Quarterly,Cambridge University Press,1503,A,1052-150X,2153-3326,,2,Education
Business History,Taylor & Francis Online,1503,A,0007-6791,1743-7938,,2,Education
Business History Review,Cambridge University Press,1503,A,0007-6805,2044-768X,,2,Education
Business Strategy and the Environment,Wiley-Blackwell Publishing,1503,A,0964-4733,1099-0836,,2,Education
California Management Review,Sage Publications,1503,A,0008-1256,2162-8564,,2,Education
Cambridge Journal of Economics,Oxford University Press,1402,A,0309-166X,1464-3545,,2,
Canadian Business Law Journal,Canada Law Book,180105,A,0319-3322,,,2,
Canadian Journal of Agricultural Economics / Revue Canadienne d Agroeconomie,Wiley-Blackwell Publishing,1402,A,0008-3976,1744-7976,,2,
Canadian Journal of Economics / Revue Canadienne D'Economique,Wiley-Blackwell Publishing,1402,A,0008-4085,1540-5982,,2,
Canadian Journal of Statistics,Wiley-Blackwell Publishing,104,A,0319-5724,1708-945X,,2,
Capital Markets Law Journal,Oxford University Press,180105,A,1750-7219,1750-7227,,2,
China Accounting and Finance Review,Hong Kong Polytechnic University,1501,A,1029-807X,2307-3055,,2,
China Economic Review,Elsevier,1402,A,1043-951X,1873-7781,,2,
China Quarterly,Cambridge University Press,1503,A,0305-7410,1468-2648,,2,Education
