Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
International Review of Economics Education,Elsevier,1402,C,1477-3880,,,4,
International Review of Industrial and Organizational Psychology,Wiley-Blackwell Publishing,1503,C,,,,4,Education
International Review of Information Ethics,International Center for Information Ethics (ICIE),806,C,1614-1687,,http://www.i-r-i-e.net/,4,Information Systems
International Tax Journal,Panel Publishers,180125,C,0097-7314,,http://onlinestore.cch.com/,4,
International Tax Review,Euromoney Institutional Investor PLC,180125,C,0958-7594,,http://www.internationaltaxreview.com/,4,
International Transfer Pricing Journal,International Bureau of Fiscal Documentation,180125,C,1385-3074,,http://www.ibfd.org/,4,
Intertax: International Tax Review,Kluwer Law International,180125,C,0165-2826,1875-8347,http://www.kluwerlawonline.com/,4,
Irish Journal of Management,Sciendo,1503,C,1649-248X,2451-2834,,4,Education
Irish Marketing Review,University of Strathclyde,1505,C,0790-7362,,https://pure.strath.ac.uk/portal/en/journals/irish-marketing-review(476c0d44-6f79-475a-ae0e-e4631b73b77c).html,4,
ISEAS Current Economic Affairs Series,Cambridge University Press,1402,C,,,,4,
Islamic Economic Studies,SyndiGate Media Inc.,1499,C,1319-1616,,,4,
ISRA International Journal of Islamic Finance ,Emerald Publishing,1502,C,0128-1976,2289-4365,,4,
Issues in Social and Environmental Accounting: An International Journal,Sebelas Maret University,1501,C,,1978-0591,http://www.iiste.org/Journals/index.php/ISEA/index,4,
IT and Society: An Online Journal,Taylor & Francis Online,806,C,,,,4,Information Systems
ITE Journal,Institute of Transportation Engineers,1507,C,0162-8178,,http://www.ite.org/,4,
IUP Journal of Accounting Research & Audit Practices,IUP Publications,1501,C,0972-690X,,,4,
IUP Journal of Corporate Governance,IUP Publications,1501,C,0972-6853,,,4,
Japan Labor Issues,International Association of Labour Law Journals,1503,C,2433-3689,,,4,Education
JISTEM Journal of Information Systems and Technology Management,University of Sao Paulo,806,C,,1807-1775,,4,Information Systems
Journal Ensayos Sobre Politica Economica (ESPE) / Essays on Economic Policy,"Department of Economic Policy Studies, Central Bank of Columbia",1402,C,0120-4483,,,4,
Journal for Advancement of Marketing Education (JAME),Marketing Management Association,1505,C,2326-3296,1537-5137,www.mmaglobal.org/publications/JAME.html,4,
Journal for Quality and Participation,American Society for Quality,1503,C,1040-9602,1931-4019,http://www.asq.org/pub/jqp/,4,Education
Journal of Aboriginal Economic Development,Council for the Advancement of Native Development Officers (CANDO) and Captus Press Inc.,1402,C,1481-9112,1481-9120,http://www.edo.ca/edo-tools/jaed,4,
Journal of Academy of Business and Economics,International Academy of Business and Economics,1402,C,1542-8710,2378-8631,http://www.iabe.org/domains/iabeX/journalinfo.aspx?JournalID=JABE,4,
Journal of Accountancy,Association of International Certified Professional Accountants,1501,C,0021-8448,1945-0729,,4,
Journal of Accounting and Management Information Systems (JAMIS),Bucharest University of Economic Studies,1501,C,1583-4387,2559-6004,,4,
"Journal of Accounting, Business and Management",Malangkucecwara School of Economics,1501,C,0216-423X,2622-2167,,4,
"Journal of Accounting, Ethics and Public Policy",Dumont Institute for Public Policy Research,1501,C,1089-652X,,http://www.jaepp.org/,4,
Journal of Advertising Education,Sage Publications,1505,C,1098-0482,,,4,
Journal of African Business,Taylor & Francis Online,1503,C,1522-8916,1522-9076,,4,Education
Journal of African Development,Vrije Universiteit Brussel,1402,C,1060-6076,,http://www.afea-jad.com/,4,
Journal of Agribusiness in Developing and Emerging Economies,Emerald Group Publishing,1499,C,2044-0839,2044-0847,,4,
Journal of Agricultural & Food Industrial Organization,De Gruyter,1402,C,1542-0485,2194-5896,,4,
Journal of Agricultural and Applied Economics,Cambridge University Press,1402,C,1074-0708,2056-7405,,4,
Journal of Applied Business and Economics,North American Business Press,1402,C,1499-691X,,,4,
Journal of Applied Economic Sciences,ASERS Publishing,1402,C,1843-6110,2393-5162,,4,
"Journal of Applied Finance: theory, practice, education",Financial Management Association International (FMA),1502,C,1534-6668,,http://www.fma.org/,4,
Journal of Applied Law and Policy,Curtin University,180105,C,1836-6953,,http://www.business.curtin.edu/business/jalap,4,
Journal of Applied Management Accounting Research,The Institute of Certified Management Accountants,1501,C,1443-9905,1443-9913,"http://journals.indexcopernicus.com/The+Journal+of+Applied+Management+Accounting+Research,p5162,3.html",4,
Journal of Applied Management and Entrepreneurship,Nova Southeastern University,1503,C,1077-1158,1077-1158,http://www.huizenga.nova.edu/jame/,4,Education
Journal of Applied Research in Accounting and Finance,The University of Sydney Business School,1501,C,1834-2582,1834-2590,http://www.econ.usyd.edu.au/research/journals/jaraf/,4,
Journal of Applied Sport Management,Sagamore Publishing,1504,C,2327-0187,,,4,
Journal of Applied Statistical Science,Nova Science Publishers,104,C,1067-5817,,https://www.novapublishers.com/,4,
Journal of Arts Management Law and Society,Taylor & Francis Online,1504,C,1063-2921,1930-7799,,4,
Journal of Asia Business Studies,Emerald Group Publishing Limited,1503,C,1558-7894,1559-2243,http://www.emeraldinsight.com/journal/jabs,4,Education
Journal of Asia Entrepreneurship and Sustainability,Monash University,1503,C,1176-8592,1176-8592,http://www.asiaentrepreneurshipjournal.com/,4,Education
Journal of Asia Pacific Business,Taylor & Francis Online,1503,C,1059-9231,1528-6940,,4,Education
Journal of Asian Business,University of Michigan,1503,C,1068-0055,1068-0055,,4,Education
Journal of Banking Regulation,Springer International Publishing,180105,C,1745-6452,1750-2071,,4,
Journal of Benefit-Cost Analysis,Cambridge University Press,1499,C,2152-2812,,,4,
Journal of Bioeconomics,Springer International Publishing,1499,C,1387-6996,1573-6989,http://www.springerlink.com/,4,
Journal of Biopharmaceutical Statistics,Taylor & Francis Online,104,C,1054-3406,1520-5711,http://www.tandfonline.com/lbps,4,
Journal of Business & Economic Studies,Northeast Business & Economics Association (NBEA),1402,C,1063-343X,2576-3458,,4,
Journal of Business Analytics,Taylor & Francis Online,806,C,2573-234X,2573-2358,,4,Information Systems
Journal of Business and Economic Perspectives,The University of Tennessee at Martin,1402,C,1528-5014,,,4,
Journal of Business and Economics Research,The Clute Institute,1402,C,1542-4448,2157-8893,http://www.cluteinstitute.com/journals/journal-of-business-economics-research-jber/,4,
Journal of Business and Management,"Department of Management Information Systems at College of Commerce, National Chengchi University",1503,C,1535-668X,,,4,Education
Journal of Business and Technical Communication,Sage Publications,1503,C,1050-6519,1552-4574,http://www.sagepub.com/,4,Education
Journal of Business Chemistry,Institute of Business Administration,1503,C,1613-9615,1613-9623,http://www.businesschemistry.org/,4,Education
Journal of Cases on Information Technology,IGI Global,806,C,1548-7717,1548-7725,,4,Information Systems
Journal of Change Management,Taylor & Francis Online,1503,C,1469-7017,1479-1811,http://www.tandfonline.com/rjcm,4,Education
Journal of Chinese Economic and Foreign Trade Studies,Emerald Group Publishing,1499,C,1754-4408,1754-4416,,4,
Journal of Chinese Economics and Business Studies,Taylor & Francis Online,1402,C,1476-5284,1476-5292,http://www.tandfonline.com/rcea,4,
Journal of Chinese Tax and Policy,The University of Sydney,180125,C,1839-065X,,http://sydney.edu.au/business/research/journals/,4,
Journal of Co-operative Studies,UK Society for Co-operative Studies,1503,C,,,,4,Education
Journal of Commerce and Accounting Research,Publishing India Group,1501,C,2277-2146,2320-4990,,4,
Journal of Comparative International Management,Array,1503,C,1481-0468,1718-0864,,4,Education
Journal of Computational Finance,Incisive Risk Information Limited,1502,C,1460-1559,1755-2850,http://www.journalofcomputationalfinance.com/,4,
Journal of Computer and System Sciences,Elsevier,806,C,0022-0000,1090-2724,,4,Information Systems
Journal of Construction Accounting and Taxation,"Warren, Gorham & Lamont, Inc.: Thomson Reuters",180125,C,1054-3007,,http://suncat.ac.uk/serials/SC00769184106/all?filters=fk_col_first_published_facet%3A2003&index=fk_col_subheadings&max=50&offset=0&operator=NONE&order=desc&origin=basic&position=29&q=Accounting+Periodicals&serialType=0&sort=score&totalMatches=170&typ,4,
Journal of Construction Procurement,International Procurement Research Group,1507,C,1358-9180,,http://researchprofiles.herts.ac.uk/portal/en/journals/journal-of-construction-procurement(3fbadd7a-4f4c-4da9-9d3a-a65f60b28770)/publications.html,4,
Journal of Consumer Policy,Springer International Publishing,1402,C,0168-7034,1573-0700,,4,
Journal of Contemporary Business Issues,Western Illinois University,1503,C,0194-0430,1553-5347,,4,Education
Journal of Contemporary Issues in Business and Government,Curtin University,1503,C,1323-6903,1323-6903,,4,Education
Journal of Corporate Real Estate,Emerald Group Publishing,1504,C,1463-001X,1479-1048,http://www.emeraldinsight.com/,4,
Journal of Cost & Management,Croatian Accountant,1501,C,1848-137X,,,4,
Journal of Cost Analysis and Parametrics,Taylor & Francis Online,1501,C,1941-658X,2160-4746,,4,
Journal of Credit Risk,Incisive Risk Information Ltd.,1502,C,1744-6619,1755-9723,,4,
Journal of Culinary Science and Technology,Taylor & Francis Online,1504,C,1542-8052,1542-8044,http://www.tandfonline.com/loi/wcsc20#.V33zBaKMz3U,4,
Journal of Cultural Heritage Management and Sustainable Development,Emerald Group Publishing,1506,C,2044-1266,2044-1274,,4,
Journal of Customer Behavior,Westburn Publishers Ltd,1505,C,1475-3928,1477-6421,http://www.westburnpublishers.com/,4,
Journal of Database Marketing & Customer Strategy Management,Palgrave Macmillan,1505,C,1741-2439,1741-2447,,4,
Journal of Derivatives and Hedge Funds,Macmillan Publishers Limited,1502,C,1753-9641,1753-965X,http://www.palgrave-journals.com/jdhf/index.html,4,
Journal of Digital & Social Media Marketing,Henry Stewart Publications,1505,C,2050-0076,2050-0084,,4,
Journal of East European Management Studies,Nomos,1503,C,0949-6181,0949-6181,,4,Education
Journal of East-West Business,Taylor & Francis Online,1503,C,1066-9868,1528-6959,,4,Education
Journal of Eastern Asia Society for Transportation Studies,Eastern Asia Society for Transportation Studies,1507,C,1881-1124,1341-8521,,4,
Journal of Economic and Administrative Sciences,Emerald Group Publishing,1499,C,1026-4116,2054-6246,,4,
Journal of Economic and Social Measurement,IOS Press,1403,C,0747-9662,1875-8932,,4,
Journal of Economic and Social Policy,Southern Cross University Division of Business,1402,C,1325-2224,2202-4883,http://epubs.scu.edu.au/jesp/,4,
Journal of Economic Development,Economic Research Institute of Chung-Ang University,1402,C,0254-8372,,,4,
Journal of Economic Insight,Missouri Valley Economic Association,1402,C,2572-7362,2639-6858,,4,
Journal of Economic Integration,Sejong University,1402,C,1225-651X,1976-5525,http://sejong.metapress.com/,4,
Journal of Economics and Finance Education,Academy of Economics and Finance (AEF),1499,C,1543-0464,,http://www.economics-finance.org/jefe/index.html,4,
Journal of Education Finance,University of Illinois Press,1502,C,0098-9495,1944-6470,http://www.press.uillinois.edu/journals/jef.html,4,
Journal of Education for Business,Taylor & Francis Online,1503,C,0883-2323,1940-3356,,4,Education
Journal of Empirical Generalisations in Marketing Science,Ehrenberg-Bass Institute for Marketing Science,1505,C,,1326-4443,,4,
Journal of Energy and Development,International Research Center for Energy and Economic Development,1599,C,0361-4476,,http://www.iceed.org/,4,
"Journal of Engineering, Design and Technology",Emerald Group Publishing,1503,C,1726-0531,1758-8901,http://www.emeraldinsight.com/,4,Education
Journal of Enterprising Communities: People and places of global economy,Emerald Group Publishing,1402,C,1750-6204,1750-6212,http://www.emeraldinsight.com/,4,
Journal of Entrepreneurship  ,Sage Publications,1503,C,0971-3557,0973-0745,,4,Education
Journal of Entrepreneurship,Sage Publications,1503,C,0971-3557,1940-0292,http://www.uk.sagepub.com/,4,Education
Journal of Entrepreneurship in Emerging Economies,Emerald Group Publishing,1503,C,2053-4604,2053-4612,,4,Education
Journal of Euromarketing,IMDA,1505,C,1049-6483,1528-6967,,4,
Journal of European Real Estate Research,Emerald Group Publishing,1504,C,1753-9269,1753-9277,,4,
Journal of Facilities Management,Emerald Group Publishing,1504,C,1472-5967,1741-0983,http://www.emeraldinsight.com/,4,
Journal of Finance and Management in Public Services,The Chartered Institute of Public Finance and Accountancy (CIPFA),1502,C,1475-1283,,http://www.cipfa.org/policy-and-guidance/the-journal-of-finance-and-management-in-public-services,4,
Journal of Finance Case Research,Institute of Finance Case Research,1502,C,1527-5426,,,4,
Journal of Financial Counseling and Planning,Springer Publishing Company,1502,C,1052-3073,1947-7910,,4,
Journal of Financial Management and Analysis,"Om Sai Ram Centre for Financial Management Research and Training, Bombay, India",1502,C,0970-4205,,,4,
Journal of Financial Management of Property and Construction,Emerald Group Publishing,1504,C,1366-4387,1759-8443,,4,
"Journal of Financial Management, Markets and Institutions",World Scientific Publishing,1502,C,2282-717X,,,4,
Journal of Financial Regulation and Compliance,Emerald Group Publishing,180105,C,1358-1988,1740-0279,http://www.emeraldinsight.com/,4,
Journal of Financial Reporting and Accounting,Emerald Group Publishing,1501,C,1985-2517,2042-5856,,4,
Journal of Food Distribution Research,Food Distribution Research Society,1505,C,0047-245X,,,4,
Journal of Foodservice,Wiley-Blackwell Publishing,1504,C,1745-4506,1748-0140,http://onlinelibrary.wiley.com/doi/10.1111/j.1745-4506.2006.00023.x/abstract,4,
Journal of Foodservice Business Research,Taylor & Francis Online,1504,C,1537-8020,1537-8039,,4,
Journal of Forensic Economics,National Association of Forensic Economics,1499,C,0898-5510,,,4,
Journal of Global Business and Economics,Global Institute of Flexible Systems Management,1499,C,2180-3625,,http://www.globalresearch.com.my/journal/journal_business.htm,4,
Journal of Global Operations and Strategic Sourcing,Emerald Group Publishing,1503,C,2398-5364,2398-5372,,4,Education
Journal of Global Responsibility,Emerald Group Publishing,1503,C,2041-2568,2041-2576,http://www.emeraldinsight.com/,4,Education
Journal of Global Sport Management,Taylor & Francis Online,1504,C,2470-4067,2470-4075,,4,
Journal of Hospitality and Tourism Insights,Emerald Group Publishing,1504,C,2514-9792,,,4,
Journal of Hospitality Application and Research,Birla Institute of Technology,1505,C,0973-4538,,http://www.publishingindia.com/johar/,4,
Journal of Human Resource Costing and Accounting,Emerald Group Publishing,1501,C,1401-338X,1758-745X,http://www.emeraldinsight.com/loi/jhrca,4,
Journal of Humanitarian Logistics and Supply Chain Management,Emerald Group Publishing Limited,1507,C,2042-6747,2042-6755,,4,
Journal of Index Investing,Pageant Media,1502,C,2154-7238,2374-135X,,4,
Journal of Indian Business Research,Emerald Group Publishing,1503,C,1755-4195,1755-4209,http://info.emeraldinsight.com/products/journals/journals.htm?id=jibr,4,Education
Journal of Industrial Information Integration,Elsevier,806,C,2452-414X,,,4,Information Systems
"Journal of Industry, Competition and Trade",Springer International Publishing,1402,C,1566-1679,1573-7012,,4,
Journal of Informatics Education and Research,Center for Research and Management Services,806,C,1526-4726,,http://www.jier.org/,4,Information Systems
Journal of Information and Knowledge Management,World Scientific Publishing,806,C,0219-6492,1793-6926,,4,Information Systems
Journal of Information and Optimization Sciences,Taylor & Francis Online,806,C,0252-2667,2169-0103,,4,Information Systems
Journal of Information Systems Security,London School of Economics and Political Science,806,C,1551-0123,1551-0808,,4,Information Systems
Journal of Information Technology Case and Application Research,Taylor & Francis Online,806,C,1522-8053,2333-6897,http://www.tandfonline.com/utca,4,Information Systems
Journal of Information Technology Education: Research ,Informing Science Institute,806,C,1547-9714,1539-3585,,4,Information Systems
Journal of Innovation Economics,De Boeck Superior,1402,C,2032-5355,,http://www.cairn.info/,4,
Journal of Innovation Management,Association Journal of Innovation Management,1503,C,,2183-0606,,4,Education
Journal of Interdisciplinary Economics,Sage Publications,1402,C,0260-1079,,,4,
Journal of International Agricultural Trade and Development,Nova Science Publishers,1402,C,1556-8520,,https://www.novapublishers.com/,4,
Journal of International Banking Law and Regulation,Sweet & Maxwell,1502,C,1742-6812,,http://www.sweetandmaxwell.co.uk/,4,
Journal of International Business and Economy,"San Francisco State University, College of Business and the Institute for Industrial Policy Studies",1402,C,1527-8603,,http://www.i-jibe.org/,4,
Journal of International Commercial Law,The University of Western Australia,180105,C,1476-7546,,http://www.georgemasonjicl.org/â€šÃ„Ã©,4,
Journal of International Commercial Law and Technology,International Association of IT Lawyers,180105,C,1901-8401,,http://www.jiclt.com/,4,
Journal of International Economic Studies,Hosei Institute of Comparative Economic Studies,1402,C,0911-1247,,http://www.hosei.ac.jp/hikaku2/jies.htm,4,
Journal of International Education in Business,Emerald Group Publishing Limited,1503,C,2046-469X,1836-3261,http://www.emeraldinsight.com/journal/jieb,4,Education
Journal of International Finance and Economics,International Academy of Business and Economics,1402,C,1555-6336,2378-864X,http://www.iabe.org/domains/iabeX/journalinfo.aspx?JournalID=JIFE,4,
Journal of International Marketing and Exporting,Academy of World Business,1505,C,1324-5864,1832-2174,http://www.academyofworldbusiness.com/jime.html,4,
Journal of International Marketing and Marketing Research,European Marketing Association,1505,C,1010-7347,,,4,
Journal of International Migration and Integration,Springer International Publishing,1503,C,1488-3473,1874-6365,http://www.springerlink.com/,4,Education
Journal of International Relations and Development,Palgrave Macmillan Ltd.,1599,C,1408-6980,1581-1980,,4,
Journal of International Taxation,Thomson Reuters,180125,C,1049-6378,,http://ria.thomsonreuters.com/,4,
Journal of International Technology and Information Management,International Information Management Association (IIMA),806,C,1543-5962,1941-6679,http://www.iima.org/,4,Information Systems
Journal of Internet Banking and Commerce,ARRAY Development,1502,C,,1204-5357,,4,
Journal of Investment Compliance,Emerald Group Publishing,1502,C,1528-5812,1758-7476,http://www.emeraldinsight.com/,4,
Journal of Investment Consulting,Investments & Wealth Institute,1502,C,1524-6035,,,4,
Journal of Investment Management,Gifford Fong Associates,1502,C,1545-9144,1545-9152,,4,
Journal of Islamic Accounting and Business Research,Emerald Group Publishing,1501,C,1759-0817,1759-0825,,4,
"Journal of Islamic Economics, Banking and Finance",SyndiGate Media Inc.,1502,C,2070-4658,2070-4666,,4,
Journal of Korea Trade,Emerald Group Publishing,1402,C,1229-828X,,,4,
Journal of Labor and Society,Wiley-Blackwell Publishing,1402,C,2471-4607,,,4,
Journal of Law and Financial Management,The University of Sydney,180105,C,1446-6899,,,4,
Journal of Legal Aspects of Sport,Sport & Recreation Law Association,1504,C,1072-0316,,,4,
Journal of Legal Studies in Business,Cengage Learning,180105,C,1078-3873,,,4,
Journal of Legal Technology Risk Management,Taylor & Francis Online,180105,C,1932-5584,1932-5592,,4,
Journal of Malaysian and Comparative Law,University of Malaya,180105,C,0126-6322,,http://law.um.edu.my/research-publication/journals/journal-of-malaysian-and-comparative-law,4,
Journal of Management Analytics,Taylor & Francis Ltd.,1503,C,2327-0012,2327-0039,,4,Education
Journal of Management and Governance,Springer International Publishing,1503,C,1385-3457,1572-963X,http://springerlink.metapress.com/,4,Education
Journal of Management Development,Emerald Group Publishing,1503,C,0262-1711,1758-7492,http://www.emeraldinsight.com/,4,Education
Journal of Management Spirituality and Religion,Taylor & Francis Ltd.,1503,C,1476-6086,1942-258X,,4,Education
Journal of Management Systems,Association of Management,806,C,1041-2808,,http://www.aom-iaom.org/jms.html,4,Information Systems
Journal of Managerial Issues,Pittsburg State University,1503,C,1045-3695,,,4,Education
Journal of Marketing & Social Research,Asian Society of Management & Marketing Research (ASMMR),1505,C,,,,4,
Journal of Marketing Analytics,Palgrave Macmillan Ltd.,1505,C,2050-3318,2050-3326,,4,
Journal of Medical Economics,Taylor & Francis Online,1402,C,1369-6998,1941-837X,,4,
Journal of Medical Marketing,Sage Publications,1505,C,1745-7904,1745-7912,http://mmj.sagepub.com/,4,
Journal of Modelling in Management,Emerald Group Publishing,1503,C,1746-5664,1746-5672,,4,Education
Journal of Money Laundering Control,Emerald Group Publishing,180105,C,1368-5201,1758-7808,http://www.emeraldinsight.com/,4,
"Journal of Money, Investment and Banking","Social Science Electronic Publishing, Inc.",1502,C,1450-288X,,http://www.eurojournals.com/JMIB.htm,4,
Journal of New Business Ideas and Trends,Australian Business Education Research Association,1503,C,1446-8719,1447-9184,,4,Education
Journal of Operational Risk,Incisive Risk Information Ltd.,1502,C,1744-6740,1755-2710,,4,
Journal of Organisational Transformation and Social Change,Intellect,1503,C,1477-9633,2040-056X,http://www.intellectbooks.co.uk/,4,Education
Journal of Organizational Behavior Education,Neilson Journals Publishing,1503,C,1649-7627,2047-9999,http://www.neilsonjournals.com/JOBE/,4,Education
Journal of Performance Management,Association for Management Information in Financial Services (AMIfs),1502,C,1949-971X,,http://www.amifs.org/?page=journals,4,
Journal of Performance of Constructed Facilities,American Society of Civil Engineers,1504,C,0887-3828,1943-5509,,4,
"Journal of Pharmaceutical Finance, Economics and Policy",Haworth Press,1402,C,1538-5396,,http://www.informaworld.com/openurl?genre=journal&issn=1538-5396,4,
Journal of Place Management and Development,Emerald Group Publishing,1504,C,1753-8335,1753-8343,,4,
Journal of Political Power,Taylor & Francis Online,1503,C,2158-379X,2158-3803,,4,Education
Journal of Property Management,Institute of Real Estate Management,1504,C,0022-3905,,,4,
Journal of Public Finance and Public Choice,Bristol University Press,1499,C,2515-6918,2515-6926,,4,
Journal of Public Relations Education ,AEJMC,1505,C,2573-1742,,,4,
Journal of Real Estate Literature,American Real Estate Society,1504,C,0927-7544,1573-8809,,4,
Journal of Real Estate Practice and Education,American Real Estate Society,1504,C,1521-4842,,,4,
Journal of Research and Practice in Information Technology,Australian Computer Society,806,C,1443-458X,0004-8917,http://www.acs.org.au/jrpit/index.html,4,Information Systems
Journal of Research for Consumers,University of Canterbury,1505,C,1444-6359,,,4,
Journal of Research on Technology in Education,Taylor & Francis Online,806,C,1539-1523,1945-0818,,4,Information Systems
Journal of Risk Management in Financial Institutions,Henry Stewart Publications,1502,C,1752-8887,1752-8895,,4,
Journal of Risk Research,Taylor & Francis Online,1502,C,1366-9877,1466-4461,http://www.tandfonline.com/rjrr,4,
Journal of Science and Technology Policy Management,Emerald Group Publishing,1503,C,2053-4620â€Ž,2053-4639,,4,Education
Journal of Selling,Northern Illinois University ,1505,C,2329-7751,,,4,
Journal of Services Research,UMAK Education Trust,1505,C,0972-4702,2581-3412,,4,
Journal of Small Business and Enterprise Development,Emerald Group Publishing,1503,C,1462-6004,1758-7840,,4,Education
Journal of Small Business and Entrepreneurship,Taylor & Francis Online,1503,C,0827-6331,2169-2610,,4,Education
Journal of Small Business Strategy,Middle Tennessee State University,1503,C,1081-8510,2380-1751,,4,Education
Journal of Social and Economic Development,Springer International Publishing,1402,C,0972-5792,2199-6873,,4,
"Journal of Social, Political and Economic Studies","Council for Social and Economic Studies, Inc.",1402,C,0278-839X,,,4,
Journal of Software Maintenance and Evolution: Research and practice,Wiley-Blackwell Publishing,806,C,1532-060X,1532-0618,,4,Information Systems
Journal of South Asian Development,Sage Publications,1402,C,0973-1741,0973-1733,http://sad.sagepub.com/,4,
Journal of Southeast Asian Economies,ISEAS-Yusof Ishak Institute,1402,C,2339-5095,2339-5206,,4,
Journal of Southeast Asian Studies,Cambridge University Press,1503,C,0022-4634,1474-0680,http://journals.cambridge.org/action/displayJournal?jid=SEA,4,Education
Journal of Sponsorship,Henry Stewart Publications,1505,C,1754-1360,1754-1379,http://www.jdb.uzh.ch/18417/,4,
Journal of Sport History,University of Illinois Press,1504,C,0094-1700,,,4,
Journal of State Taxation,Panel Publishers,180125,C,0744-6713,,http://ezproxy.sl.nsw.gov.au/login?url=http://search.proquest.com/publication/31512,4,
Journal of Statistical Computation and Simulation,Taylor & Francis Online,104,C,0094-9655,1563-5163,http://www.tandfonline.com/gscs,4,
Journal of Statistical Research,"Institute of Statistical Research and Training, University of Dacca, Bangladesh",104,C,0256-422X,,,4,
Journal of Statistical Theory and Applications,Atlantis Press,104,C,1538-7887,2214-1766,,4,
Journal of Statistics and Management Systems,Taylor & Francis Online,104,C,0972-0510,2169-0014,http://www.tandfonline.com/tsms,4,
Journal of Strategy and Management,Emerald Group Publishing,1503,C,1755-425X,1755-425X,http://www.emeraldinsight.com/,4,Education
"Journal of Targeting, Measurement and Analysis for Marketing",Henry Stewart Publications,1505,C,0967-3237,1479-1862,,4,
Journal of Taxation of Investments,Civic Research Institute,180125,C,0747-9115,1933-933X,http://www.civicresearchinstitute.com/,4,
Journal of Teaching in International Business,Taylor & Francis Online,1503,C,0897-5930,1528-6991,http://www.tandfonline.com/wtib,4,Education
Journal of Technology Management & Innovation,Universidad Alberto Hurtado,1503,C,,0718-2724,,4,Education
Journal of Technology Management in China,Emerald Group Publishing,1503,C,1746-8779,1746-8787,http://www.emeraldinsight.com/,4,Education
Journal of the ACM,Association for Computing Machinery,806,C,0004-5411,1557-735X,,4,Information Systems
Journal of the Asia Pacific Centre for Environmental Accountability,The University of South Australia,1501,C,1448-6679,,http://catalogue.nla.gov.au/Record/2489013,4,
Journal of the International Academy of Hospitality Research,International Academy of Hospitality Research,1504,C,,,,4,
Journal of the Japan Statistical Society,Japan Statistical Society,104,C,0389-5602,1348-6365,,4,
Journal of the Knowledge Economy,Springer International Publishing,1499,C,1868-7865,1868-7873,http://www.springer.com/economics/policy/journal/13132,4,
Journal of the New Economic Association,New Economic Association,1499,C,2221-2264,,,4,
Journal of the Statistical and Social Inquiry Society of Ireland,"School of Mathematical Sciences, University College Dublin",104,C,0081-4776,,,4,
Journal of the Transportation Research Forum,"Transportation Research Forum (TRF), Washington, D.C.",1507,C,1046-1469,,http://www.trforum.org/,4,
Journal of the UK Association of Christian Economists,Association of Christian Economics,1402,C,0956-3067,,http://www.christian-economists.org.uk/,4,
Journal of Tourism Challenges and Trends,Romanian-American Association of Project Managers for Education and Research,1506,C,1844-9743,,http://journaltct.wordpress.com/,4,
Journal of Tourism Futures,Emerald Group Publishing,1506,C,2055-5911,2055-592X,,4,
Journal of Tourism History,Taylor & Francis Online,1506,C,1755-182X,1755-1838,http://www.tandfonline.com/rjth,4,
Journal of Transnational Management,Taylor & Francis Online,1503,C,1547-5778,1547-5786,,4,Education
Journal of Transport History,Sage Publications,1507,C,0022-5266,1759-3999,,4,
Journal of Transportation and Statistics,Bureau of Transportation Statistics,1507,C,1094-8848,,http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/journal_of_transportation_and_statistics/volume_01_number_01/index.html,4,
"Journal of Transportation Law, Logistics and Policy","Association of Transportation Law Professionals, Inc.",1507,C,1078-5906,,,4,
Journal of Travel and Tourism Research,Adnan Menderes University,1506,C,1302-8545,,,4,
Journal of Wine Economics,Cambridge University Press,1402,C,1931-4361,1931-437X,http://www.wine-economics.org/journal/,4,
Journal of Workplace Learning,Emerald Publishing,1503,C,1366-5626,1758-7859,https://www.emeraldinsight.com/journal/jwl,4,Education
Journal Transition Studies Review,Transition Academia Press,1402,C,1614-4007,1614-4015,,4,
Keio Economic Studies,Japan Publications Trading Co. Ltd,1402,C,0022-9709,,http://www.jptco.co.jp/book/serials/title_list.html,4,
Keizai Kagaku,Nagoya Daigaku Keizai Gakubu,1402,C,0022-9725,,http://www.soec.nagoya-u.ac.jp/,4,
Kerala: an economic review,Trivandrum,1402,C,0453-7440,,,4,
Knowledge and Information Systems,Springer International Publishing,806,C,0219-1377,0219-3116,http://www.springerlink.com/,4,Information Systems
Kobe Economic and Business Review,Kobe University,1402,C,0075-6407,2185-5021,http://www.rieb.kobe-u.ac.jp/academic/ra/researchseries/review.html,4,
Kobe University Economic Review,Kobe University,1402,C,0454-1111,,http://www.econ.kobe-u.ac.jp/en/research/er.html,4,
Korea and the World Economy,Association of Korean Economic Studies,1402,C,2234-2346,,,4,
Korea Review of International Studies,Global Research Institute Korea University,1599,C,1226-4741,,,4,
Kyoto Economic Review,Kyoto University,1402,C,1349-6786,1349-6778,http://www.jstage.jst.go.jp/browse/ker,4,
Labour Law Journal,Wolters Kluwer,180125,C,0023-6977,,http://hr.cch.com/labor-law-journal-submissions/default.asp,4,
Lahore Journal of Economics,Lahore School of Economics,1499,C,1811-5438,1811-5446â€Ž,,4,
Latin American Journal of Economics,Pontificia Universidad Catolica de Chile,1499,C,0716-0046,0717-6821,,4,
Leadership in Health Services,Emerald Group Publishing,1503,C,1751-1879,1751-1887,,4,Education
Legal Education Review,Australasian Law Academics Association,180125,C,1033-2839,1839-3713,,4,
